beta,kT,KEvirial,KE,SprPE,PE,TotE,Ethr,Rg,bd0,bd1,bd2,bd3,bd4,bd5,bd6,bd7,
   0.1262941,     7.918026,    164.99878,    10261.762,    8866.4839,   -4638.2288,    14490.017,   -480.05989, 0.0002085912,            0, 0.00028036365, 0.00048411064, 0.00059051294, 0.00062748477, 0.00059051294, 0.00048411064, 0.00028036365, 
  0.12621334,    7.9230927,    165.27134,    10268.328,    8957.9225,   -4633.1077,    14593.143,    -583.2666, 0.0002173708,            0, 0.00028325499, 0.00049310487, 0.00062575254, 0.00067370804, 0.00062575254, 0.00049310487, 0.00028325499, 
  0.12575381,    7.9520451,    165.65811,     10305.85,    8777.1553,   -4512.6917,    14570.314,    -560.1386, 0.0002102263,            0, 0.00027753902, 0.00047337933, 0.00060570341, 0.00065037733, 0.00060570341, 0.00047337933, 0.00027753902, 
  0.12668403,    7.8936548,    165.51025,    10230.177,    9348.4909,   -4572.1729,    15006.495,   -996.38454, 0.00022537067,            0,  0.000295605, 0.00051204748, 0.00064815759, 0.00069431059, 0.00064815759, 0.00051204748,  0.000295605, 
  0.12300563,    8.1297092,    164.97731,    10536.103,    9468.6638,   -4653.3241,    15351.443,   -1341.2555, 0.00021612268,            0, 0.00029940494, 0.00050477128, 0.00060458541, 0.00064043959, 0.00060458541, 0.00050477128, 0.00029940494, 
  0.12652841,    7.9033636,     165.2121,    10242.759,    9189.3396,   -4532.4981,    14899.601,   -889.06047, 0.00021602097,            0, 0.00029057254, 0.00049258763, 0.00061482192, 0.00066037131, 0.00061482192, 0.00049258763, 0.00029057254, 
  0.12183288,    8.2079649,    165.30668,    10637.523,    9007.6607,   -4472.3268,    15172.856,   -1162.9864, 0.00021075176,            0, 0.00028482775, 0.00048380049, 0.00059885392, 0.00063706384, 0.00059885392, 0.00048380049, 0.00028482775, 
  0.12228437,    8.1776598,    165.39098,    10598.247,    9312.7902,   -4530.7408,    15380.297,   -1369.8802, 0.00021222034,            0, 0.00029447613, 0.00048675705, 0.00059850375, 0.00063605153, 0.00059850375, 0.00048675705, 0.00029447613, 
  0.12518087,    7.9884408,    165.17307,    10353.019,    8674.2592,   -4594.9285,     14432.35,   -422.57211, 0.00020785186,            0, 0.00027428539, 0.00047080337, 0.00059687801, 0.00064169629, 0.00059687801, 0.00047080337, 0.00027428539, 
   0.1219429,    8.2005595,    164.73532,    10627.925,    8979.2532,   -4634.2254,    14972.953,   -963.59051, 0.00021582699,            0, 0.00028392948, 0.00049233903, 0.00061995463, 0.0006607855, 0.00061995463, 0.00049233903, 0.00028392948, 
  0.12278735,    8.1441615,    165.15489,    10554.833,    9311.4487,   -4605.9723,     15260.31,   -1250.5169, 0.00022149363,            0, 0.00029443371, 0.00050513212, 0.00063518904, 0.0006743883, 0.00063518904, 0.00050513212, 0.00029443371, 
  0.12621643,     7.922899,    165.33484,    10268.077,    9022.1514,   -4575.1936,    14715.035,   -704.96988, 0.00022110851,            0, 0.00028528595, 0.00050606295, 0.00063838013, 0.0006782781, 0.00063838013, 0.00050606295, 0.00028528595, 
  0.12222705,    8.1814951,    165.06928,    10603.218,    8951.1904,   -4588.4749,    14965.933,   -955.39126, 0.00020941288,            0, 0.00028304212, 0.00048580977, 0.00059438511, 0.00062413211, 0.00059438511, 0.00048580977, 0.00028304212, 
   0.1299635,    7.6944682,    164.94974,    9972.0308,    9137.3187,   -4606.4455,    14502.904,   -492.92588, 0.00021661591,            0, 0.00028892761, 0.00048842622, 0.00062119232, 0.0006687622, 0.00062119232, 0.00048842622, 0.00028892761, 
  0.12812984,    7.8045835,     165.3191,     10114.74,    9294.7219,   -4577.6206,    14831.842,    -821.8453, 0.00022693781,            0, 0.0002939048, 0.00051911032, 0.00065296253, 0.00069904964, 0.00065296253, 0.00051911032, 0.0002939048, 
  0.12656521,    7.9010656,    165.28268,    10239.781,    9205.1656,   -4553.1408,    14891.806,   -882.03157, 0.00021238779,            0, 0.00029107297, 0.00049439062, 0.00060226774, 0.00062274196, 0.00060226774, 0.00049439062, 0.00029107297, 
  0.12312826,    8.1216122,    165.24084,    10525.609,    8840.0957,   -4604.6822,    14761.023,   -751.39852, 0.00020634725,            0, 0.00027952924, 0.00047146262, 0.00058585638, 0.00062785956, 0.00058585638, 0.00047146262, 0.00027952924, 
  0.12471049,     8.018572,    165.06127,    10392.069,    9153.7947,   -4632.7296,    14913.134,   -903.42911, 0.00021983248,            0, 0.00028944859, 0.0005071375, 0.00062801768, 0.00066811213, 0.00062801768, 0.0005071375, 0.00028944859, 
  0.12432656,    8.0433334,    165.07914,     10424.16,    9004.8073,    -4575.619,    14853.348,   -844.19053, 0.00021435458,            0, 0.00028473752, 0.00048481364, 0.00061416763, 0.00066223566, 0.00061416763, 0.00048481364, 0.00028473752, 
  0.12103263,    8.2622351,    165.27463,    10707.857,    8994.7274,   -4526.5086,    15176.075,   -1166.2858, 0.00020795281,            0, 0.00028441879, 0.0004774961, 0.00059184443, 0.00061972625, 0.00059184443, 0.0004774961, 0.00028441879, 
