beta,kT,KE,SprPE,PE,TotE,Ethr,Rg,bd0,bd1,bd2,bd3,bd4,bd5,bd6,bd7,endl
0.12835974,  7.7906049,  10096.624,  8445.1238, -4495.5423,  14046.205,  975.00301, 0.00020417766,          0, 0.00026703998, 0.00047212578, 0.00058589408, 0.00061672289, 0.00058589408, 0.00047212578, 0.00026703998, 
0.12347811,  8.0986016,  10495.788,  9336.1953, -4507.5976,  15324.385, -302.64632, 0.00022276748,          0, 0.00029521621, 0.0005136678, 0.00063627037, 0.00067397098, 0.00063627037, 0.0005136678, 0.00029521621, 
 0.1247382,  8.0167904,   10389.76,   9321.854, -4569.5126,  15142.102, -121.17915, 0.00021002482,          0, 0.00029476273, 0.00048857168, 0.00058840681, 0.00061691468, 0.00058840681, 0.00048857168, 0.00029476273, 
0.12445008,  8.0353503,  10413.814,  8906.4331, -4551.4954,  14768.752,  252.54669, 0.00021832754,          0, 0.00028162687, 0.0005021859, 0.00062855053, 0.0006685141, 0.00062855053, 0.0005021859, 0.00028162687, 
0.11909385,  8.3967393,  10882.174,  9432.0394, -4491.2473,  15822.966, -801.22066, 0.00022925178,          0, 0.00029824686, 0.00052408739, 0.0006571828, 0.00070899439, 0.0006571828, 0.00052408739, 0.00029824686, 
0.12321993,  8.1155705,  10517.779,  9373.6243, -4458.3118,  15433.092, -411.59772, 0.0002210041,          0, 0.00029639974, 0.00050469511, 0.00062763046, 0.00067861505, 0.00062763046, 0.00050469511, 0.00029639974, 
0.12203168,  8.1945936,  10620.193,  9207.3838,   -4460.31,  15367.267,   -346.452, 0.000227284,          0, 0.00029114311, 0.00052205408, 0.00065622345, 0.0006977027, 0.00065622345, 0.00052205408, 0.00029114311, 
0.12765633,  7.8335324,  10152.258,  9186.8084,   -4511.64,  14827.426,  193.23227, 0.00021973482,          0, 0.0002904925, 0.00049783771, 0.00062914664, 0.00068080343, 0.00062914664, 0.00049783771, 0.0002904925, 
0.12432349,  8.0435322,  10424.418,  9227.3106, -4484.4889,  15167.239, -146.54571, 0.00021565981,          0, 0.00029177321, 0.00048815567, 0.00061726103, 0.00065617713, 0.00061726103, 0.00048815567, 0.00029177321, 
0.12768262,  7.8319195,  10150.168,  9410.4813,  -4498.573,  15062.076, -40.288954, 0.00022579223,          0, 0.00029756518, 0.0005129118, 0.00065246008, 0.00068680161, 0.00065246008, 0.0005129118, 0.00029756518, 
0.12712676,  7.8661647,   10194.55,  9162.2179, -4497.3333,  14859.434,   162.4295, 0.00021450272,          0, 0.00028971494, 0.00049592987, 0.00060545609, 0.00064984171, 0.00060545609, 0.00049592987, 0.00028971494, 
0.12256804,  8.1587338,  10573.719,  8862.8218, -4594.1533,  14842.388,  178.57583, 0.00022065055,          0, 0.00028024785, 0.00050545471, 0.00063841921, 0.0006821652, 0.00063841921, 0.00050545471, 0.00028024785, 
 0.1315091,  7.6040365,  9854.8313,  8950.8177, -4589.6769,  14215.972,   805.5861, 0.00021766227,          0, 0.00028303033, 0.00049579222, 0.00062853628, 0.0006678786, 0.00062853628, 0.00049579222, 0.00028303033, 
0.12366741,   8.086205,  10479.722,  9005.2159, -4542.1294,  14942.808,  79.082241, 0.00021455417,          0, 0.00028475044, 0.00048906971, 0.000614824, 0.00065557848, 0.000614824, 0.00048906971, 0.00028475044, 
0.13021917,  7.6793607,  9952.4515,  9407.3077, -4508.4437,  14851.315,  170.47456, 0.000218775,          0, 0.00029746483, 0.00049760811, 0.00062363522, 0.00066298364, 0.00062363522, 0.00049760811, 0.00029746483, 
0.12203199,  8.1945728,  10620.166,  9253.2538, -4507.4204,      15366, -343.49799, 0.00022486011,          0, 0.00029259355, 0.00051338117, 0.00064729166, 0.00069122907, 0.00064729166, 0.00051338117, 0.00029259355, 
 0.1250104,  7.9993345,  10367.137,  8957.9253, -4563.0479,  14762.015,  258.41572, 0.00020626169,          0, 0.00028325508, 0.00047552377, 0.00058017359, 0.00062228211, 0.00058017359, 0.00047552377, 0.00028325508, 
0.12310895,  8.1228863,  10527.261,  9601.5729, -4580.5747,  15548.259, -527.43657, 0.00023170219,          0, 0.00030360761, 0.00053028114, 0.00066276329, 0.00071393097, 0.00066276329, 0.00053028114, 0.00030360761, 
0.11821019,  8.4595074,  10963.522,   9055.337, -4575.3477,  15443.511, -422.70516, 0.0002106158,          0, 0.0002863353, 0.0004727497, 0.00060048075, 0.00065072136, 0.00060048075, 0.0004727497, 0.0002863353, 
0.12243659,   8.167493,  10585.071,  9494.3504, -4579.9202,  15499.501, -478.26208, 0.00022595466,          0, 0.00030021717, 0.00051722108, 0.00064725785, 0.00068588243, 0.00064725785, 0.00051722108, 0.00030021717, 
 0.1232104,  8.1161977,  10518.592,  8925.4858, -4555.2327,  14888.845,   131.9272, 0.00021444331,          0, 0.00028222932, 0.00048510309, 0.00061920813, 0.00065801184, 0.00061920813, 0.00048510309, 0.00028222932, 
0.12471855,  8.0180532,  10391.397,  8735.1043, -4574.9348,  14551.566,  468.65795, 0.00021562555,          0, 0.00027620934, 0.00049304605, 0.0006227674, 0.00066596328, 0.0006227674, 0.00049304605, 0.00027620934, 
0.12501162,  7.9992561,  10367.036,  8913.8842,  -4552.081,  14728.839,  292.31444, 0.00021328602,          0, 0.00028186247, 0.00048232432, 0.00061252609, 0.00065915056, 0.00061252609, 0.00048232432, 0.00028186247, 
0.12342249,  8.1022509,  10500.517,    9048.53,  -4474.286,  15074.761, -54.347846, 0.00021822828,          0, 0.00028612006, 0.00050020097, 0.00062644051, 0.00066612941, 0.00062644051, 0.00050020097, 0.00028612006, 
0.12516009,  7.9897671,  10354.738,  9217.8537, -4462.6036,  15109.988, -89.533574, 0.00022259663,          0, 0.00029147418, 0.00051097146, 0.00063966922, 0.00067731639, 0.00063966922, 0.00051097146, 0.00029147418, 
0.11830056,  8.4530456,  10955.147,  8741.7684, -4445.7437,  15251.172, -230.92632, 0.00020831156,          0, 0.00027642007, 0.00048285076, 0.00059200017, 0.00063044295, 0.00059200017, 0.00048285076, 0.00027642007, 
0.11915928,  8.3921287,  10876.199,  8989.3966,  -4589.189,  15276.406, -256.34404, 0.00021507201,          0, 0.00028425022, 0.00049183787, 0.00061823185, 0.00065251227, 0.00061823185, 0.00049183787, 0.00028425022, 
0.12002009,  8.3319381,  10798.192,  9051.2263, -4643.5281,   15205.89, -185.56259, 0.0002128523,          0, 0.00028620532, 0.00048036878, 0.00060971071, 0.00065306725, 0.00060971071, 0.00048036878, 0.00028620532, 
0.12273428,  8.1476832,  10559.397,  8842.9331, -4575.5323,  14826.798,  193.79821, 0.00020908228,          0, 0.00027961896, 0.00047816967, 0.00059736163, 0.00063501591, 0.00059736163, 0.00047816967, 0.00027961896, 
0.12362501,  8.0889783,  10483.316,  9050.6316, -4530.3717,  15003.576,  17.849483, 0.00020656161,          0, 0.00028618651, 0.00046874784, 0.00058711156, 0.00062089399, 0.00058711156, 0.00046874784, 0.00028618651, 
0.12385176,  8.0741686,  10464.122,  9235.9673, -4539.9609,  15160.129, -139.14011, 0.00021429069,          0, 0.00029204694, 0.00049695962, 0.00060167016, 0.00064729754, 0.00060167016, 0.00049695962, 0.00029204694, 
 0.1222814,  8.1778588,  10598.505,  8721.7713, -4523.1287,  14797.148,  224.01182, 0.00020990353,          0, 0.00027578775, 0.00048103716, 0.00060161363, 0.0006415794, 0.00060161363, 0.00048103716, 0.00027578775, 
0.12926771,  7.7358841,  10025.706,  9313.8529, -4487.7761,  14851.783,  170.59492, 0.00021931398,          0, 0.00029450973, 0.00049655317, 0.00062755377, 0.00067179036, 0.00062755377, 0.00049655317, 0.00029450973, 
0.12844718,  7.7853014,  10089.751,  8933.5281, -4440.4966,  14582.782,  439.11656, 0.00021217611,          0, 0.00028248363, 0.00048713454, 0.0006076022, 0.00064037701, 0.0006076022, 0.00048713454, 0.00028248363, 
0.12594588,  7.9399182,  10290.134,  8683.4136, -4471.4869,  14502.061,  519.70087, 0.00019467067,          0, 0.00027457485, 0.00045497523, 0.00054309253, 0.00056944545, 0.00054309253, 0.00045497523, 0.00027457485, 
0.12202021,  8.1953637,  10621.191,  9063.4502, -4487.3442,  15197.297, -175.61934, 0.0002256692,          0, 0.00028659184, 0.00051379135, 0.00065321836, 0.00070350402, 0.00065321836, 0.00051379135, 0.00028659184, 
0.12621529,  7.9229701,  10268.169,  9358.7219, -4465.1189,  15161.772, -139.79733, 0.00021653955,          0, 0.00029592852, 0.00049193527, 0.0006124611, 0.00066398301, 0.0006124611, 0.00049193527, 0.00029592852, 
0.11938379,  8.3763468,  10855.746,  9334.1097, -4554.7537,  15635.101, -613.76328, 0.00021427809,          0, 0.00029515026, 0.00049047596, 0.0006039775, 0.00064924205, 0.0006039775, 0.00049047596, 0.00029515026, 
 0.1198508,   8.343707,  10813.444,   9217.025, -4643.4044,  15387.065, -365.85014, 0.00021710019,          0, 0.00029144797, 0.00049408621, 0.00062157275, 0.00065938909, 0.00062157275, 0.00049408621, 0.00029144797, 
0.12151491,  8.2294429,  10665.358,  8523.6621, -4528.0003,   14661.02,  359.79239, 0.00020650433,          0, 0.00026952341, 0.00046943891, 0.00059289737, 0.00064034987, 0.00059289737, 0.00046943891, 0.00026952341, 
0.12616452,  7.9261586,  10272.301,  9373.7834, -4443.1043,  15202.981, -180.82567, 0.00022262425,          0, 0.00029640477, 0.00050758695, 0.00063528297, 0.00068343856, 0.00063528297, 0.00050758695, 0.00029640477, 
0.12500482,  7.9996916,    10367.6,  8966.8368, -4533.9747,  14800.462,  220.13344, 0.00021145424,          0, 0.00028353687, 0.00048397965, 0.00060233834, 0.00064355812, 0.00060233834, 0.00048397965, 0.00028353687, 
0.12327408,  8.1120056,  10513.159,  9173.4504, -4545.7248,  15140.885, -120.29251, 0.00021556878,          0, 0.00029007012, 0.00048968499, 0.00061194578, 0.00066569866, 0.00061194578, 0.00048968499, 0.00029007012, 
0.12958374,  7.7170179,  10001.255,  9264.9513, -4590.1699,  14676.037,  345.08532, 0.0002141938,          0, 0.00029296343, 0.00049859531, 0.00060368609, 0.00063661113, 0.00060368609, 0.00049859531, 0.00029296343, 
