xb0,yb0,zb0,
-0.55000113,   1.200323, 0.15173206, 
-0.74563192, 0.22060216, -1.3042524, 
 2.0269501,  1.3653859, 0.90418986, 
 -2.040602, -1.0897956,  1.7494279, 
 1.5131829, -0.32257347,  2.0801202, 
0.65231498, -0.86366482, -1.7666319, 
 1.6804822, -1.0466615, -1.5511758, 
 2.1245729, -0.47309108, 0.0065990704, 
0.48769316,  1.0902423, 0.068837492, 
-0.08323069, 0.24827441, -0.22115214, 
 2.0463919, 0.83610077,   1.834807, 
-1.5189023, -1.1735693, 0.47008727, 
-1.1096054, -1.0542726,  2.0239083, 
 1.7820646, -1.8722683,  1.2884509, 
-1.3408595, 0.78232024, -2.0315089, 
0.67807365,    1.27798,  1.8212675, 
 2.0636297, -0.39171255,   1.007055, 
-0.6005934, -0.43207277,  1.0846479, 
-1.1458577, -0.11453392, 0.23687064, 
0.75105747, -1.7153688,  0.5625969, 
-0.9772067,  1.5166266, -1.2749107, 
 1.2417831, -1.6312335, -0.82068628, 
0.20378976,  -1.789875, -0.40045069, 
-1.5297319,  1.3970002, -0.23708662, 
 1.3314361, 0.40066989,  1.1295605, 
-1.7751452, -0.40619846, -1.7616859, 
0.78886715,  1.5927563, 0.88839001, 
 1.0406962, -1.0515678,  1.3998564, 
-0.34007937, 0.52512489, 0.86203413, 
-0.1028879, -1.0125435, 0.59923515, 
 1.2855645, -0.42833322, -0.83859737, 
0.77869551,  1.7398488, -0.99189208, 
-0.29252026,  1.0310939, -1.8629802, 
-1.6722252,  -2.121217, 0.68267626, 
-0.78715137,   -2.12559,  2.0887438, 
-0.62882003, 0.012309498,  2.0166082, 
-1.5082903, 0.18905566,  1.4518785, 
-0.49336751, -0.75310271, -1.5445975, 
 1.7205761,  0.9185901, -0.24619799, 
0.0064752887, -2.0132114, -1.4187403, 
  1.268381,   1.874915, -0.047797876, 
 0.4022932, 0.13755388, -1.6413461, 
-1.4748001, 0.51247932, -0.72325718, 
0.034882466,  2.0913269,  1.5560715, 
-0.22648571,  2.0911049, 0.54316862, 
-0.88357285, -0.58504272, -0.59649587, 
-1.8246897,  1.7367808,  2.1350912, 
