KE,PE,Etot
88.480568003, -301.386035881, -212.905467878
84.797047462, -297.98435875, -213.187311288
86.7565484923, -300.017528967, -213.260980474
89.7164984645, -303.089263694, -213.372765229
98.6956130818, -311.805103676, -213.109490595
96.5194189842, -309.702710364, -213.18329138
90.1760733946, -303.589636785, -213.41356339
90.3624663539, -303.980215399, -213.617749045
91.2737090805, -304.685685998, -213.411976917
100.633150739, -314.128318875, -213.495168136
110.594410463, -324.057593961, -213.463183498
108.178451444, -321.561200451, -213.382749007
97.1695184487, -310.586119572, -213.416601123
88.6944719173, -302.381744875, -213.687272958
90.5148221133, -304.291242043, -213.77641993
94.0937727291, -307.823950412, -213.730177683
99.1461687535, -312.608570991, -213.462402238
96.7921810996, -310.562524055, -213.770342955
95.7405947679, -309.43871193, -213.698117163
94.8525820169, -308.546424588, -213.693842571
96.6099628818, -309.869189133, -213.259226251
97.3713217995, -311.224801126, -213.853479327
95.734300709, -310.136808614, -214.402507905
96.9365286826, -311.386795642, -214.450266959
95.5456169022, -309.754176409, -214.208559507
95.2533288384, -309.223044368, -213.96971553
97.8151726424, -311.784270867, -213.969098224
99.3165321752, -312.934275935, -213.61774376
93.0283719062, -306.603321307, -213.574949401
84.7252410297, -298.135371879, -213.41013085
89.4435209852, -302.858834118, -213.415313133
100.591888428, -314.219305599, -213.627417171
96.0298432848, -309.764429154, -213.734585869
91.5850395604, -305.196713927, -213.611674367
93.945133158, -307.840874174, -213.895741016
93.4735760019, -307.277653798, -213.804077796
101.205650525, -315.176979551, -213.971329026
107.586459441, -321.359877103, -213.773417662
108.375074089, -322.348265269, -213.97319118
105.481767194, -319.48967348, -214.007906285
105.844752507, -319.789451712, -213.944699205
95.4071371162, -309.267593802, -213.860456686
82.9393668272, -296.903599957, -213.964233129
90.4743946317, -304.740883247, -214.266488616
94.4890897837, -308.200304026, -213.711214242
87.5603707124, -301.293652678, -213.733281966
92.9640022974, -306.819493182, -213.855490884
104.369146363, -318.712651084, -214.343504721
101.846962411, -315.783109835, -213.936147424
97.6099628695, -311.038475245, -213.428512376
89.5296537477, -302.830485271, -213.300831524
89.4041741317, -301.953005187, -212.548831056
97.2443933943, -310.399113602, -213.154720207
96.3658391435, -309.75337722, -213.387538076
90.3189964919, -303.867443408, -213.548446916
83.7781122885, -296.957692072, -213.179579783
89.3141386722, -302.386998437, -213.072859764
97.2020061516, -310.709565527, -213.507559375
100.609619898, -314.201101168, -213.59148127
94.9619902892, -308.6686104, -213.706620111
88.1945753151, -301.612237214, -213.417661898
90.3120742786, -303.462064868, -213.14999059
92.1858643048, -305.76648285, -213.580618545
93.5623424746, -307.189835222, -213.627492748
91.3046418623, -304.808365601, -213.503723739
92.0055834715, -305.229546334, -213.223962863
97.8528876998, -311.214298263, -213.361410563
91.6193292612, -305.276299648, -213.656970387
91.3763880396, -304.996640803, -213.620252763
96.645090076, -310.272470541, -213.627380465
95.7264357457, -309.503786915, -213.777351169
96.8383330379, -310.858579237, -214.020246199
96.9900218787, -310.456871324, -213.466849445
93.679293049, -306.957057342, -213.277764293
84.3817471342, -297.681127937, -213.299380803
88.5462246743, -301.787754733, -213.241530059
93.6523848612, -306.964279053, -213.311894192
94.9191048472, -307.833705039, -212.914600191
91.8500360232, -304.641621066, -212.791585043
92.2106345031, -305.084790305, -212.874155802
95.6404101005, -308.676325271, -213.03591517
95.897731594, -309.091172365, -213.193440771
93.596871837, -306.668338401, -213.071466564
94.6422695519, -307.951900694, -213.309631142
97.0061518485, -310.280029011, -213.273877162
97.9186014066, -311.751815983, -213.833214576
93.2647529392, -307.124972577, -213.860219638
94.3880376021, -307.97811457, -213.590076968
96.4197865276, -310.208475089, -213.788688561
92.3103905651, -306.094344166, -213.783953601
89.2067587205, -302.909050582, -213.702291861
91.9224466912, -305.94234505, -214.019898359
97.7684181661, -311.239066731, -213.470648565
102.71325321, -316.106112548, -213.392859338
102.320513721, -315.948409135, -213.627895414
97.0139517497, -310.315863842, -213.301912093
96.9977233088, -310.271674168, -213.273950859
91.0932066141, -304.526847141, -213.433640527
82.5120738384, -296.206310642, -213.694236804
89.2102579148, -302.679076332, -213.468818417
98.1241426941, -311.355501859, -213.231359165
103.014583427, -316.522584477, -213.50800105
101.1549757, -314.110413937, -212.955438237
94.0620200633, -307.209235593, -213.14721553
91.1580773559, -304.62312389, -213.465046534
97.7599381285, -310.960795617, -213.200857488
98.8078001546, -312.204227813, -213.396427658
90.7615797933, -304.147922512, -213.386342718
89.8434557078, -303.274532004, -213.431076296
92.8789843885, -306.356788603, -213.477804214
94.7725728619, -308.214454853, -213.441881991
95.0399761488, -308.676886205, -213.636910056
92.2726879017, -305.912608214, -213.639920312
91.5196735074, -305.471913516, -213.952240009
97.6002282448, -311.480644127, -213.880415882
96.533417227, -310.524917083, -213.991499856
98.1723557146, -311.843367835, -213.671012121
105.173256178, -318.857029747, -213.683773568
103.921144114, -317.603601376, -213.682457262
95.4266412199, -308.940483066, -213.513841846
92.8711386149, -306.427153529, -213.556014914
97.5582696801, -311.201224198, -213.642954518
99.8563759147, -314.057344508, -214.200968593
95.3042049675, -309.100903509, -213.796698541
92.5538105489, -306.708723833, -214.154913284
91.2678972366, -305.342471477, -214.074574241
91.4965612855, -305.333694414, -213.837133128
88.9988788988, -302.881149855, -213.882270956
81.4306496619, -295.214463122, -213.78381346
88.1450635573, -302.143508726, -213.998445168
94.4692166095, -308.185116568, -213.715899958
98.79140327, -312.469330625, -213.677927355
99.9928619019, -313.829775791, -213.836913889
100.662660449, -314.734435883, -214.071775434
101.108684969, -315.586420775, -214.477735807
92.8615633362, -307.29183236, -214.430269024
87.8646365342, -302.090340371, -214.225703837
91.5613934073, -305.452187146, -213.890793738
82.9736811922, -297.044958424, -214.071277232
83.8985673217, -297.857152613, -213.958585292
93.1148611453, -307.07776735, -213.962906204
96.3534066982, -310.477276671, -214.123869973
92.5752254253, -306.575681282, -214.000455857
89.593217162, -303.747184814, -214.153967652
94.5189381231, -308.761930687, -214.242992564
94.8438281675, -308.691643537, -213.84781537
90.8830024074, -304.365551269, -213.482548861
92.8220341598, -306.38110201, -213.559067851
96.8040379015, -310.294494962, -213.490457061
91.6063625001, -304.89373824, -213.28737574
85.5347779323, -298.614116364, -213.079338431
90.4300158635, -303.520441943, -213.09042608
93.4028680518, -306.447632017, -213.044763965
98.8140388638, -311.743733991, -212.929695127
103.149331334, -316.758388584, -213.60905725
101.427060374, -315.103927394, -213.67686702
102.689102969, -315.815659307, -213.126556338
101.865713134, -315.666517214, -213.80080408
97.2436770587, -311.034321253, -213.790644194
100.173136369, -314.011875805, -213.838739436
100.298248738, -314.060019307, -213.761770569
96.3212518617, -309.95362736, -213.632375498
98.2932136438, -311.700443622, -213.407229978
94.4865073038, -307.495599658, -213.009092354
92.2329654985, -305.274035964, -213.041070466
95.7816596864, -308.482263164, -212.700603478
90.5912862286, -303.230488524, -212.639202295
96.5189211826, -309.492800618, -212.973879435
99.087656325, -312.455089793, -213.367433468
97.3566823891, -310.838907471, -213.482225081
97.0353669792, -310.476798739, -213.441431759
99.0139160223, -312.733069915, -213.719153893
100.255793403, -313.580299889, -213.324506487
95.5714757471, -308.692952996, -213.121477249
90.4113252581, -303.765853119, -213.35452786
92.007818494, -305.251259009, -213.243440515
91.4533676643, -304.627623062, -213.174255398
82.521487503, -295.832826934, -213.311339431
87.0927717288, -300.414157943, -213.321386214
