KE,PE,Etot
173.693664699, -571.305744007, -397.612079308
171.25158307, -568.928048534, -397.676465464
159.117575181, -556.637850176, -397.520274995
155.647249864, -553.190102738, -397.542852874
155.94398149, -553.460556505, -397.516575014
155.730373897, -553.240228975, -397.509855079
157.607016454, -554.932751172, -397.325734718
153.908160747, -551.243647051, -397.335486304
160.41348016, -557.919421794, -397.505941633
162.323140732, -559.923718488, -397.600577756
150.248693274, -547.857387781, -397.608694507
148.726911495, -546.482421878, -397.755510383
153.242980048, -550.945450804, -397.702470757
155.370164698, -553.034283803, -397.664119105
165.099350662, -562.900956153, -397.801605491
167.496965563, -565.207490759, -397.710525196
153.189381104, -550.668301, -397.478919897
149.002739024, -546.530574786, -397.527835762
155.012088944, -552.653759146, -397.641670203
162.449576709, -560.049485699, -397.599908991
167.695687232, -565.38414552, -397.688458288
165.015505354, -562.588735577, -397.573230222
157.61968986, -555.303453278, -397.683763417
151.114170152, -549.001939225, -397.887769073
149.428419549, -547.277399237, -397.848979687
151.212491813, -548.978896517, -397.766404705
160.626266511, -558.423228121, -397.796961609
167.188250227, -565.116657155, -397.928406928
158.947442254, -556.927333703, -397.979891449
149.067719148, -546.907757268, -397.84003812
153.785907983, -551.604058623, -397.81815064
159.89264361, -557.760191411, -397.867547801
159.680898907, -557.519741484, -397.838842576
167.185977165, -564.938235401, -397.752258237
170.779767629, -568.502751785, -397.722984156
172.187540781, -569.936697314, -397.749156533
171.583210742, -569.205045253, -397.621834511
167.183676568, -564.848392438, -397.66471587
159.066862074, -556.694702536, -397.627840462
147.080600789, -544.522656001, -397.442055211
152.815480346, -550.490677454, -397.675197108
164.903707071, -562.631376128, -397.727669057
164.369810898, -561.959453019, -397.589642121
162.465872322, -560.13113865, -397.665266328
159.319132104, -556.837699912, -397.518567808
160.669484192, -558.191164822, -397.52168063
163.082858462, -560.619602961, -397.536744498
163.44626118, -560.938187517, -397.491926337
165.155000915, -562.801800897, -397.646799982
163.048146131, -560.841672193, -397.793526062
151.791449287, -549.550905843, -397.759456557
156.430047338, -554.226205208, -397.79615787
166.806103807, -564.566208213, -397.760104406
161.076535104, -558.866550146, -397.790015042
148.875649586, -546.367204581, -397.491554995
139.552150475, -537.148603466, -397.596452991
150.024586294, -547.625469301, -397.600883007
157.096745082, -554.772007407, -397.675262325
161.195306863, -558.994594375, -397.799287512
150.353418821, -548.04413509, -397.690716269
151.2303192, -548.820519812, -397.590200612
157.387888025, -555.208864791, -397.820976766
157.582488063, -555.318111621, -397.735623558
157.675800186, -555.383568782, -397.707768596
165.867515863, -563.476416291, -397.608900429
157.994818068, -555.444268934, -397.449450865
152.805742752, -550.203468447, -397.397725695
161.137373327, -558.691636151, -397.554262825
163.07354436, -560.627373112, -397.553828752
153.843335237, -551.452505067, -397.609169831
143.754807159, -541.21411246, -397.459305301
144.585167499, -542.059950179, -397.47478268
155.078987102, -552.625044278, -397.546057176
168.515628061, -566.073579925, -397.557951864
170.981478115, -568.704211505, -397.72273339
162.661770267, -560.264419511, -397.602649244
157.57846846, -554.992426151, -397.413957691
164.13013027, -561.617169453, -397.487039183
163.534321037, -560.972616972, -397.438295935
162.337250214, -559.814797265, -397.477547051
167.012563948, -564.565373255, -397.552809306
178.720371117, -576.288028221, -397.567657104
178.249782341, -575.94138974, -397.6916074
163.337546618, -561.252506762, -397.914960145
154.426188859, -552.350253825, -397.924064966
167.544871641, -565.409617952, -397.86474631
165.075005255, -562.928533681, -397.853528426
147.743979814, -545.500205751, -397.756225936
146.776260794, -544.362641766, -397.586380971
153.652229053, -551.369949201, -397.717720149
148.735549479, -546.521821171, -397.786271692
154.826869764, -552.400283874, -397.57341411
159.297475211, -556.927395322, -397.629920111
162.819946435, -560.526655623, -397.706709187
158.534662636, -556.174133187, -397.63947055
156.325889923, -553.932951463, -397.60706154
153.094992225, -550.717583414, -397.622591189
159.27892329, -556.937523958, -397.658600668
165.977804659, -563.549957557, -397.572152898
162.246403998, -560.015204173, -397.768800175
153.767943919, -551.342923896, -397.574979977
163.731037023, -561.383987542, -397.652950519
158.290448727, -555.861723626, -397.571274898
149.128683503, -546.795487632, -397.666804129
153.365839786, -550.895753544, -397.529913758
154.680828608, -552.411262562, -397.730433954
161.373796855, -559.132798833, -397.759001978
166.351994987, -564.073663248, -397.721668261
163.994626342, -561.633509041, -397.638882699
166.332972048, -563.804989052, -397.472017005
158.300653267, -555.812448093, -397.511794826
150.697318547, -548.27058857, -397.573270024
154.32012479, -551.82648186, -397.50635707
147.328417146, -544.808752997, -397.480335851
143.738267426, -541.13722238, -397.398954954
141.119023076, -538.612706267, -397.493683191
132.390356125, -530.047748116, -397.657391991
143.205065136, -540.935083788, -397.730018652
156.808355619, -554.59758759, -397.789231971
159.231565982, -557.018788279, -397.787222297
162.556342418, -560.283314189, -397.726971771
163.064933049, -560.648363432, -397.583430383
167.714763191, -565.28801389, -397.573250699
162.210386195, -559.978672912, -397.768286716
161.750075758, -559.209775249, -397.459699491
167.42136057, -565.085024639, -397.663664069
168.233776503, -565.894158926, -397.660382423
166.05266436, -563.596885712, -397.544221352
166.10328132, -563.658819808, -397.555538488
157.936458543, -555.50026554, -397.563806997
148.705059369, -546.196392854, -397.491333485
146.831571875, -544.25430781, -397.422735934
151.356757629, -548.824221139, -397.46746351
155.618040837, -553.003482146, -397.38544131
158.198771621, -555.695375846, -397.496604225
158.022894698, -555.551015905, -397.528121207
155.483876186, -552.776316326, -397.292440139
162.161314598, -559.590883591, -397.429568993
163.78115194, -561.390975762, -397.609823822
163.656088023, -561.428469793, -397.77238177
168.871261358, -566.631781531, -397.760520173
172.380674323, -570.016500286, -397.635825963
173.94805211, -571.776440103, -397.828387993
177.398837295, -575.208577367, -397.809740071
171.473840669, -568.99838599, -397.524545321
157.35482278, -554.892911982, -397.538089202
141.903533924, -539.568029308, -397.664495384
143.515696881, -541.0758492, -397.560152319
154.236372618, -551.733257943, -397.496885325
162.170188651, -559.722764895, -397.552576245
165.823789669, -563.251046641, -397.427256972
162.122681181, -559.451559164, -397.328877983
156.701226172, -554.002373579, -397.301147407
161.688821766, -559.00336028, -397.314538514
160.847443769, -558.30472808, -397.457284311
149.999010534, -547.276003109, -397.276992574
149.499106976, -546.730503393, -397.231396417
161.972398352, -559.462699655, -397.490301303
162.623451582, -560.152672163, -397.529220581
152.689901074, -550.318897698, -397.628996625
151.065834252, -548.520699056, -397.454864804
160.348153002, -557.737850963, -397.389697961
158.821384034, -556.439025685, -397.617641651
157.898150062, -555.538658498, -397.640508436
151.944777511, -549.501307815, -397.556530304
152.062934313, -549.683378734, -397.620444421
154.218799443, -551.917437178, -397.698637734
162.094505494, -559.591966146, -397.497460652
163.774015224, -561.389812278, -397.615797054
155.265127124, -552.934717514, -397.66959039
163.990462127, -561.618464864, -397.628002736
161.90090403, -559.245567913, -397.344663883
151.070083525, -548.215430538, -397.145347013
153.861250483, -551.020830155, -397.159579672
155.660822645, -553.014120014, -397.353297368
152.097110063, -549.433119478, -397.336009415
149.922267715, -547.131609452, -397.209341737
153.044746257, -550.264434306, -397.219688049
161.819049725, -558.800109126, -396.9810594
162.857673336, -560.055485675, -397.19781234
163.932838286, -561.143423436, -397.21058515
165.801503954, -563.078386177, -397.276882223
163.662281148, -560.891100522, -397.228819374
162.208746855, -559.693019081, -397.484272226
155.710377692, -553.317717331, -397.60733964
152.053096377, -549.708702953, -397.655606577
155.31845485, -552.736792696, -397.418337846
152.69456279, -550.207291459, -397.512728669
159.286192571, -556.930762145, -397.644569575
160.191826427, -557.921236425, -397.729409998
159.92682333, -557.670633666, -397.743810336
158.366018356, -556.140741487, -397.774723131
153.202809438, -550.734202463, -397.531393025
153.703304761, -551.230537503, -397.527232743
163.443365704, -560.844904056, -397.401538352
164.595683606, -562.134715596, -397.53903199
156.540923824, -553.976843423, -397.435919599
153.363583303, -550.731065057, -397.367481754
153.53021666, -550.753634627, -397.223417967
145.941282027, -543.089509346, -397.148227319
150.389793342, -547.743955339, -397.354161997
157.399619754, -554.631005796, -397.231386042
161.795681421, -558.920856399, -397.125174978
155.099910235, -552.260982347, -397.161072112
147.232386024, -544.453879946, -397.221493922
153.271978894, -550.724500884, -397.452521989
157.708750325, -555.098833706, -397.390083381
150.938977657, -548.234620641, -397.295642984
149.458544144, -546.90002136, -397.441477216
162.571603141, -560.030924276, -397.459321135
165.409515225, -562.835184884, -397.425669659
159.625488836, -556.824706937, -397.199218101
152.655707901, -549.765308045, -397.109600143
155.577940977, -552.777892495, -397.199951518
161.899189321, -559.151701274, -397.252511953
168.138191771, -565.487070537, -397.348878766
163.213389297, -560.613136556, -397.399747258
148.843165361, -546.415864244, -397.572698883
147.919223676, -545.599440876, -397.6802172
162.995738478, -560.867417259, -397.871678781
162.454952894, -560.203884147, -397.748931253
154.214751992, -552.023920884, -397.809168892
153.079465517, -550.862778573, -397.783313056
158.174449062, -555.752601291, -397.578152229
160.718740733, -558.204571592, -397.485830858
156.591930673, -553.816176422, -397.224245749
155.639872829, -552.891858138, -397.251985309
154.814339107, -552.168968677, -397.354629569
150.224129434, -547.417437148, -397.193307714
151.119483912, -548.371837074, -397.252353163
152.199557574, -549.573272187, -397.373714614
158.927572916, -556.21865063, -397.291077714
159.948090486, -557.256768216, -397.30867773
160.044464607, -557.579599473, -397.535134865
160.513598418, -558.223123134, -397.709524717
151.009070011, -548.697775829, -397.688705818
145.126599131, -542.836734138, -397.710135007
153.992050288, -551.721369575, -397.729319288
155.327209451, -553.038896317, -397.711686866
156.949638123, -554.715927643, -397.76628952
161.579097286, -559.162053082, -397.582955796
168.975554927, -566.568669511, -397.593114584
166.412977988, -564.118234781, -397.705256793
157.761832844, -555.383603219, -397.621770374
159.258282972, -556.857227774, -397.598944802
156.516541781, -554.037366769, -397.520824988
149.028281378, -546.458376628, -397.43009525
138.711438298, -536.147675394, -397.436237096
148.186602305, -545.50454661, -397.317944304
155.182738019, -552.299510861, -397.116772843
156.507942671, -553.785819475, -397.277876804
151.752626856, -549.251990645, -397.499363789
154.198849291, -551.66397557, -397.46512628
158.561423402, -555.896670466, -397.335247064
164.114193693, -561.63867701, -397.524483317
161.514112259, -559.051015835, -397.536903577
159.385263615, -556.817372803, -397.432109188
166.274114734, -563.924481595, -397.650366861
169.71736784, -567.691351506, -397.973983667
165.739459791, -563.550328656, -397.810868865
153.180737403, -550.916754718, -397.736017315
154.410279139, -551.978599657, -397.568320518
158.53277141, -556.027214357, -397.494442946
162.20681955, -559.658545631, -397.451726081
166.887420735, -564.33119377, -397.443773035
166.009489418, -563.393782298, -397.38429288
160.083485269, -557.458251579, -397.37476631
153.6510666, -551.20748718, -397.55642058
167.644506192, -565.231926327, -397.587420135
169.170195613, -566.949512301, -397.779316688
156.98399719, -554.599947152, -397.615949962
150.144272186, -547.699450577, -397.555178391
156.392996682, -553.848842195, -397.455845513
159.138358561, -556.508611946, -397.370253385
156.520855245, -553.90462767, -397.383772425
153.871127326, -551.242148956, -397.371021629
163.372469518, -560.800068401, -397.427598883
168.328721669, -565.594900899, -397.26617923
160.377771998, -557.675008733, -397.297236736
153.326624638, -550.642406288, -397.31578165
147.795025004, -544.971574714, -397.17654971
146.593906194, -543.848842488, -397.254936294
156.106433432, -553.320347646, -397.213914213
166.260910949, -563.642002551, -397.381091603
159.541836701, -556.924977227, -397.383140525
150.185260964, -547.739541733, -397.554280768
157.323470962, -554.649721253, -397.326250291
166.153573171, -563.546746103, -397.393172933
159.793169065, -557.113343018, -397.320173953
160.694444966, -558.106294223, -397.411849257
154.917864417, -552.420545122, -397.502680705
156.522690219, -554.06402692, -397.541336701
167.393204485, -565.110281592, -397.717077107
165.980708686, -563.699823386, -397.7191147
162.271437649, -559.944850137, -397.673412487
161.341986945, -558.896401836, -397.554414891
161.354353164, -558.914269271, -397.559916107
166.607682807, -564.087950912, -397.480268105
171.54044125, -568.936536111, -397.396094861
170.823988716, -568.146128522, -397.322139806
156.987394101, -554.375178535, -397.387784434
151.111299397, -548.464408123, -397.353108726
152.620261371, -550.094165868, -397.473904498
162.094776617, -559.47103091, -397.376254294
163.509521999, -560.979344125, -397.469822125
160.725419742, -558.389204423, -397.663784681
158.610384896, -556.108436349, -397.498051453
155.255817567, -552.934675433, -397.678857867
152.639976686, -550.433632327, -397.793655641
150.556038373, -548.363114178, -397.807075805
150.566954742, -548.118615772, -397.55166103
153.783720769, -551.418295129, -397.634574361
158.661376985, -556.353115143, -397.691738157
164.34538098, -562.041084098, -397.695703118
166.374875257, -563.915995264, -397.541120007
163.412704828, -560.968729595, -397.556024767
159.709848405, -557.071357601, -397.361509197
166.014873287, -563.514388178, -397.499514891
169.035008733, -566.566145067, -397.531136335
162.393663134, -559.934493169, -397.540830034
157.526906626, -555.042330125, -397.515423499
164.82548488, -562.305839439, -397.480354559
163.270228469, -560.561651572, -397.291423104
156.314899394, -553.39867234, -397.083772945
155.838626528, -552.965373653, -397.126747125
153.277196018, -550.416157907, -397.138961889
158.809607639, -555.932283538, -397.122675899
159.145371469, -556.294269355, -397.148897886
156.643690159, -553.989154129, -397.34546397
165.694258886, -562.878432036, -397.18417315
164.280129669, -561.516599298, -397.236469629
158.031465715, -555.410924378, -397.379458663
159.014855618, -556.610128261, -397.595272643
160.86130809, -558.426928702, -397.565620612
165.53820116, -563.0815733, -397.543372139
166.419937069, -563.795410952, -397.375473884
159.397173692, -557.047451974, -397.650278282
152.343787349, -549.923709169, -397.57992182
152.106434883, -549.570900977, -397.464466094
159.622415307, -557.0935039, -397.471088593
155.88997637, -553.668897085, -397.778920715
152.050599882, -549.915137765, -397.864537882
164.198602428, -562.146087995, -397.947485567
174.905815694, -572.713214613, -397.807398919
164.88819746, -562.80546607, -397.91726861
154.893519537, -552.679616068, -397.786096531
155.198854524, -552.896513182, -397.697658658
154.427651602, -552.074978985, -397.647327383
157.571628113, -555.302532263, -397.73090415
155.614284764, -553.434100971, -397.819816207
154.092242036, -551.88680795, -397.794565914
154.121056812, -551.78381332, -397.662756508
159.698434645, -557.365366685, -397.66693204
164.281080752, -561.995896696, -397.714815945
160.893670359, -558.556535159, -397.6628648
